Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
56,male,71477,bachelor,9,skiing,2477,urban,175,267,summer,0,1,1
69,male,88740,master,1,swimming,4777,suburban,228,190,fall,0,1,0
46,female,46562,master,0,skiing,1469,urban,71,280,winter,0,0,1
32,non-binary,99044,high school,6,hiking,1482,rural,31,255,summer,1,0,1
60,female,106583,high school,5,sunbathing,516,suburban,23,151,winter,1,1,0
25,male,110588,doctorate,3,sunbathing,2895,urban,6,47,fall,0,1,0
38,male,22245,bachelor,1,swimming,4994,rural,157,225,fall,0,1,0
56,non-binary,109411,bachelor,8,sunbathing,3656,urban,210,166,winter,1,0,0
36,male,22531,master,6,swimming,2408,suburban,218,263,summer,1,1,0
40,non-binary,90840,high school,1,swimming,4044,rural,271,15,summer,1,1,0
28,female,42036,master,4,skiing,3495,suburban,159,51,spring,0,1,0
28,non-binary,97902,high school,3,skiing,1747,urban,33,21,winter,1,0,0
41,female,52794,bachelor,7,hiking,1591,suburban,130,254,summer,1,1,1
53,female,93042,bachelor,9,sunbathing,2221,rural,211,148,fall,0,1,0
57,male,65802,high school,3,hiking,2607,suburban,36,258,fall,0,0,1
41,female,99810,master,2,skiing,2830,urban,77,209,fall,1,1,1
20,male,112635,bachelor,7,sunbathing,675,rural,280,211,winter,0,0,0
39,non-binary,52469,doctorate,4,hiking,4979,rural,253,50,summer,0,1,0
19,non-binary,69522,bachelor,5,sunbathing,4028,rural,162,293,fall,0,0,0
41,female,46992,doctorate,1,hiking,803,urban,207,162,summer,0,0,0
61,non-binary,107749,high school,5,hiking,4140,urban,296,169,fall,0,1,0
47,female,97814,master,7,skiing,3818,suburban,298,41,spring,1,1,0
55,non-binary,52222,high school,1,skiing,635,suburban,263,241,fall,1,1,0
19,female,82148,bachelor,1,swimming,862,rural,164,1,winter,0,1,0
38,female,112172,master,4,skiing,3424,urban,234,54,spring,1,0,0
50,non-binary,43152,master,3,skiing,3923,urban,243,161,summer,1,1,0
29,non-binary,98433,high school,3,sunbathing,1823,rural,48,185,spring,1,0,0
39,non-binary,46417,high school,4,skiing,2850,suburban,220,230,summer,0,1,1
61,non-binary,29865,bachelor,6,swimming,3940,rural,256,291,summer,0,1,0
42,female,83719,doctorate,1,swimming,948,rural,201,24,spring,1,0,0
66,female,46795,high school,2,hiking,4703,suburban,165,294,spring,1,0,1
44,non-binary,92148,master,3,sunbathing,2510,suburban,30,125,fall,1,0,0
59,non-binary,34116,doctorate,5,hiking,1714,rural,209,90,summer,1,0,0
45,male,58179,high school,3,skiing,4382,suburban,46,124,spring,0,0,1
33,female,73175,high school,9,skiing,2385,rural,118,296,spring,1,0,1
32,female,21627,high school,4,sunbathing,3849,urban,107,91,fall,1,0,0
64,non-binary,97004,doctorate,7,swimming,2581,rural,288,27,summer,0,1,0
68,male,65603,high school,0,hiking,3216,rural,51,149,winter,0,1,1
61,non-binary,93856,bachelor,2,skiing,2754,suburban,93,105,fall,1,1,1
69,female,109258,high school,7,swimming,3623,suburban,260,181,summer,0,0,0
20,female,31144,master,4,swimming,3453,suburban,212,15,winter,0,0,0
54,male,114704,high school,8,swimming,2611,suburban,246,221,spring,1,1,0
68,non-binary,32243,master,6,hiking,2713,suburban,274,134,summer,1,0,0
24,male,30602,doctorate,8,swimming,1998,suburban,207,168,spring,0,1,0
38,non-binary,43401,high school,9,skiing,3701,suburban,77,8,summer,0,0,0
26,male,68080,high school,0,swimming,4571,urban,250,173,spring,1,1,0
56,non-binary,97682,doctorate,6,swimming,553,rural,231,250,winter,1,1,0
35,non-binary,98367,bachelor,7,hiking,1641,suburban,123,184,winter,0,1,1
21,non-binary,98203,doctorate,0,hiking,3244,urban,49,167,summer,0,1,1
42,female,119298,doctorate,0,swimming,3895,suburban,266,270,summer,0,0,0
31,non-binary,21605,master,9,sunbathing,2564,urban,164,133,winter,0,0,0
67,female,37721,high school,7,sunbathing,558,suburban,160,263,spring,1,1,0
26,male,41939,high school,5,sunbathing,4235,suburban,84,17,summer,1,1,0
43,non-binary,28389,master,6,hiking,2718,urban,25,18,spring,0,0,0
19,female,86904,master,3,sunbathing,1670,rural,197,248,fall,1,1,0
37,male,87867,high school,9,skiing,2921,urban,241,47,fall,0,1,0
45,non-binary,48902,bachelor,4,sunbathing,2556,rural,264,138,spring,1,1,0
64,male,99552,bachelor,4,swimming,3229,rural,243,227,summer,0,0,0
24,female,63471,master,8,swimming,3540,suburban,13,177,spring,0,1,0
61,female,111027,high school,2,skiing,3359,suburban,31,285,fall,0,1,1
25,non-binary,83063,bachelor,0,hiking,2382,suburban,51,24,summer,0,0,0
64,female,27118,bachelor,1,hiking,3319,suburban,64,202,fall,1,1,1
52,female,108178,high school,9,hiking,2349,suburban,166,121,winter,1,0,0
31,male,23721,doctorate,1,hiking,3276,suburban,93,292,winter,0,1,1
34,non-binary,87005,doctorate,9,sunbathing,4675,suburban,261,262,summer,0,1,0
53,non-binary,26436,bachelor,5,swimming,1065,urban,13,221,winter,1,1,0
67,non-binary,118018,doctorate,7,swimming,4280,rural,250,170,winter,1,1,0
57,male,30043,doctorate,9,swimming,1209,suburban,279,73,spring,0,1,0
21,female,33914,bachelor,6,swimming,4581,urban,278,219,fall,1,1,0
19,non-binary,95101,high school,0,swimming,1672,rural,98,167,summer,1,0,0
23,non-binary,53090,high school,7,hiking,1963,rural,20,105,winter,0,0,1
